Gene,Gene Length BP
ENSG00000176695.8,918
ENSG00000141934.10,867
ENSG00000105556.11,1638
ENSG00000105549.11,1140
ENSG00000183186.8,1266
ENSG00000129946.10,1749
ENSG00000181781.9,870
ENSG00000099866.15,1149
ENSG00000141933.9,873
ENSG00000099804.9,711
ENSG00000197540.8,774
ENSG00000172270.20,1158
ENSG00000099822.3,2670
ENSG00000099821.14,3693
ENSG00000070388.11,513
ENSG00000070423.18,936
ENSG00000070404.10,792
ENSG00000185198.11,852
ENSG00000099864.18,1164
ENSG00000099812.9,2040
ENSG00000011304.20,1596
ENSG00000129951.18,2241
ENSG00000172232.10,756
ENSG00000196415.10,771
ENSG00000197561.7,804
ENSG00000197766.8,762
ENSG00000175221.15,2634
ENSG00000198858.10,807
ENSG00000116014.10,1197
ENSG00000116017.11,1782
ENSG00000065268.11,1299
ENSG00000116032.5,3132
ENSG00000182087.14,1227
ENSG00000064666.15,930
ENSG00000064687.13,6441
ENSG00000180448.10,3411
ENSG00000099817.12,633
ENSG00000167468.17,594
ENSG00000064932.16,4101
ENSG00000099625.13,1362
ENSG00000167470.12,1407
ENSG00000099622.14,519
ENSG00000228300.14,399
ENSG00000099617.4,642
ENSG00000160953.16,2136
ENSG00000115286.20,642
ENSG00000130005.13,711
ENSG00000071626.17,1224
ENSG00000115268.9,438
ENSG00000115266.11,6912
ENSG00000115257.15,2268
ENSG00000115255.11,555
ENSG00000185761.11,1416
ENSG00000181588.16,1956
ENSG00000071655.18,876
ENSG00000127540.12,171
ENSG00000079313.15,3666
ENSG00000129911.9,759
ENSG00000129968.15,933
ENSG00000213638.6,1104
ENSG00000227500.10,690
ENSG00000133275.16,1248
ENSG00000133243.10,1578
ENSG00000099875.14,1398
ENSG00000172081.14,654
ENSG00000099840.14,645
ENSG00000065000.19,3462
ENSG00000104885.18,4614
ENSG00000104886.12,450
ENSG00000104897.10,1395
ENSG00000104899.8,1683
ENSG00000104904.12,687
ENSG00000273734.1,393
ENSG00000188305.6,1422
ENSG00000220008.3,1779
ENSG00000130332.15,312
ENSG00000005206.17,1779
ENSG00000178297.13,3180
ENSG00000099800.8,288
ENSG00000176619.13,1863
ENSG00000099860.9,483
ENSG00000176533.13,207
ENSG00000176490.5,597
ENSG00000141873.11,945
ENSG00000104969.10,942
ENSG00000172009.15,2070
ENSG00000172006.12,1617
ENSG00000186300.12,1887
ENSG00000172000.7,1371
ENSG00000171970.13,1668
ENSG00000175691.9,1638
ENSG00000104953.20,1350
ENSG00000065717.15,2232
ENSG00000104964.15,594
ENSG00000088256.9,1080
ENSG00000060558.4,1125
ENSG00000125910.6,1155
ENSG00000125912.11,1692
ENSG00000161082.13,1458
ENSG00000141905.19,1287
ENSG00000095932.7,393
ENSG00000284638.1,450
ENSG00000129932.10,909
ENSG00000105325.14,1482
ENSG00000183397.5,630
ENSG00000161091.13,1443
ENSG00000064961.19,954
ENSG00000179855.9,939
ENSG00000006638.13,1032
ENSG00000105298.14,2277
ENSG00000186111.10,2007
ENSG00000105289.15,2760
ENSG00000011132.12,1728
ENSG00000183617.5,417
ENSG00000173976.16,555
ENSG00000007264.15,1401
ENSG00000105278.12,2820
ENSG00000167654.18,1116
ENSG00000077009.13,693
ENSG00000167657.14,1365
ENSG00000167658.16,2577
ENSG00000105229.7,1533
ENSG00000178951.9,1755
ENSG00000126934.14,1203
ENSG00000060566.14,1386
ENSG00000077463.15,1068
ENSG00000089847.12,3441
ENSG00000105246.6,690
ENSG00000105248.16,972
ENSG00000105251.11,1023
ENSG00000167664.8,849
ENSG00000105255.11,1491
ENSG00000178078.11,1350
ENSG00000008382.15,1416
ENSG00000141985.9,1107
ENSG00000167670.16,2871
ENSG00000167671.12,1326
ENSG00000167674.15,2016
ENSG00000167676.4,4119
ENSG00000214456.8,1392
ENSG00000267385.1,255
ENSG00000171236.10,1044
ENSG00000167680.16,2667
ENSG00000185361.9,561
ENSG00000074842.8,522
ENSG00000142002.17,2679
ENSG00000141965.5,2010
ENSG00000127666.9,2139
ENSG00000105355.9,1305
ENSG00000205784.4,1029
ENSG00000276043.5,2421
ENSG00000127663.15,3291
ENSG00000105426.17,5733
ENSG00000105428.6,1290
ENSG00000223573.7,363
ENSG00000130254.12,2862
ENSG00000160633.13,2748
ENSG00000174917.8,357
ENSG00000167733.13,861
ENSG00000130255.13,318
ENSG00000196365.12,2880
ENSG00000174898.16,2397
ENSG00000212123.4,1269
ENSG00000141994.16,1953
ENSG00000171119.2,594
ENSG00000156413.14,1080
ENSG00000171124.13,1086
ENSG00000130383.7,1125
ENSG00000174886.14,426
ENSG00000267314.1,207
ENSG00000187650.4,510
ENSG00000105519.18,570
ENSG00000031823.14,1704
ENSG00000087903.13,2172
ENSG00000130377.13,2001
ENSG00000130382.9,1680
ENSG00000167769.5,795
ENSG00000125656.11,834
ENSG00000125652.8,666
ENSG00000125650.4,471
ENSG00000125651.14,1554
ENSG00000088247.17,2136
ENSG00000181240.14,1113
ENSG00000125648.15,1407
ENSG00000130545.16,372
ENSG00000205744.10,2406
ENSG00000104833.12,1335
ENSG00000125657.5,765
ENSG00000125726.11,582
ENSG00000125735.10,723
ENSG00000125730.17,4992
ENSG00000125734.15,1632
ENSG00000125733.18,1638
ENSG00000125731.13,1731
ENSG00000141968.8,2538
ENSG00000174837.15,2661
ENSG00000196589.6,615
ENSG00000237247.6,627
ENSG00000205718.9,627
ENSG00000230522.5,627
ENSG00000182315.9,627
ENSG00000130544.12,1293
ENSG00000171105.14,4149
ENSG00000263264.2,1335
ENSG00000104880.18,3048
ENSG00000104883.8,726
ENSG00000198723.11,1518
ENSG00000198816.7,1707
ENSG00000090674.16,1743
ENSG00000032444.16,3984
ENSG00000076826.9,3750
ENSG00000076924.12,2568
ENSG00000229833.10,222
ENSG00000268400.5,186
ENSG00000174788.10,363
ENSG00000076944.16,1782
ENSG00000104918.8,327
ENSG00000183019.7,564
ENSG00000181029.9,567
ENSG00000104921.15,966
ENSG00000182566.13,882
ENSG00000090659.18,1215
ENSG00000104938.17,1200
ENSG00000142459.8,2385
ENSG00000183248.12,4041
ENSG00000171017.11,2391
ENSG00000076984.17,1260
ENSG00000260001.6,951
ENSG00000104976.12,1005
ENSG00000178531.6,249
ENSG00000104980.8,1359
ENSG00000066044.15,981
ENSG00000131142.13,453
ENSG00000142449.13,8430
ENSG00000090661.12,1185
ENSG00000167775.11,849
ENSG00000167774.2,342
ENSG00000267855.6,342
ENSG00000233927.5,210
ENSG00000186994.11,2466
ENSG00000167772.12,1221
ENSG00000185236.12,657
ENSG00000099785.10,741
ENSG00000099783.12,2193
ENSG00000133246.12,2013
ENSG00000133250.14,1173
ENSG00000142347.19,3297
ENSG00000142303.14,3312
ENSG00000268480.3,870
ENSG00000181786.5,1251
ENSG00000181733.3,945
ENSG00000167785.9,1209
ENSG00000170948.3,585
ENSG00000181143.15,43524
ENSG00000170929.6,942
ENSG00000170923.3,1038
ENSG00000161807.3,936
ENSG00000170920.2,939
ENSG00000130803.15,1788
ENSG00000188000.5,939
ENSG00000174667.4,939
ENSG00000237521.3,1020
ENSG00000196110.8,1929
ENSG00000188321.13,1617
ENSG00000270011.7,966
ENSG00000188629.12,966
ENSG00000174652.19,1851
ENSG00000198028.4,2373
ENSG00000130818.12,1665
ENSG00000197961.11,1173
ENSG00000171469.11,1461
ENSG00000171466.10,1281
ENSG00000196605.7,1602
ENSG00000127452.9,981
ENSG00000198258.10,222
ENSG00000127445.14,492
ENSG00000105088.8,1365
ENSG00000080573.7,5238
ENSG00000080511.5,996
ENSG00000130813.18,876
ENSG00000130812.10,1413
ENSG00000130810.20,1422
ENSG00000243207.6,2385
ENSG00000244165.2,1125
ENSG00000130811.12,963
ENSG00000130816.16,4851
ENSG00000267534.4,1062
ENSG00000105364.14,936
ENSG00000090339.9,1599
ENSG00000105371.10,816
ENSG00000105376.5,2775
ENSG00000220201.7,816
ENSG00000167807.15,438
ENSG00000267673.6,561
ENSG00000161847.14,2271
ENSG00000076662.10,1644
ENSG00000105397.14,3564
ENSG00000105401.9,1137
ENSG00000065989.16,2661
ENSG00000079999.14,1875
ENSG00000180739.14,1197
ENSG00000130734.10,1425
ENSG00000129347.21,2130
ENSG00000129355.7,501
ENSG00000129354.11,1272
ENSG00000129353.15,2121
ENSG00000129351.17,2685
ENSG00000213339.9,1212
ENSG00000079805.17,2601
ENSG00000099203.7,684
ENSG00000214212.9,693
ENSG00000142453.12,1827
ENSG00000130733.10,951
ENSG00000142444.7,783
ENSG00000127616.18,4944
ENSG00000130164.14,2583
ENSG00000161888.11,594
ENSG00000197256.10,2556
ENSG00000130158.14,6144
ENSG00000130173.13,597
ENSG00000130167.13,738
ENSG00000105514.8,660
ENSG00000105518.14,570
ENSG00000183401.12,894
ENSG00000105520.10,1032
ENSG00000173928.4,690
