hgnc_symbol,Gene Length BP
OR4F17,918
PLPP2,867
MIER2,1638
THEG,1140
C2CD4C,1266
SHC2,1749
ODF3L2,870
MADCAM1,1149
TPGS1,873
CDC34,711
GZMM,774
BSG,1158
HCN2,2670
POLRMT,3693
FGF22,513
RNF126,936
FSTL3,792
PRSS57,852
PALM,1164
MISP,2040
PTBP1,1596
PLPPR3,2241
AZU1,756
PRTN3,771
ELANE,804
CFD,762
MED16,2634
R3HDM4,807
KISS1R,1197
ARID3A,1782
WDR18,1299
GRIN3B,3132
TMEM259,1227
CNN2,930
ABCA7,6441
ARHGAP45,3411
POLR2E,633
GPX4,594
SBNO2,4101
CBARP,1362
MIDN,1407
CIRBP,519
FAM174C,399
EFNA2,642
PWWP3A,2136
NDUFS7,642
GAMT,711
DAZAP1,1224
RPS15,438
APC2,6912
PCSK4,2268
REEP6,555
ADAMTSL5,1416
MEX3D,1956
MBD3,876
UQCR11,171
REXO1,3666
KLF16,759
ABHD17A,933
ADAT3,1104
SCAMP4,690
CSNK1G2,1248
BTBD2,1578
MKNK2,1398
MOB3A,654
IZUMO4,645
AP3D1,3462
DOT1L,4614
PLEKHJ1,450
SF3A2,1395
AMH,1683
OAZ1,687
,393
PEAK3,1422
LINGO3,1779
LSM7,312
SPPL2B,1779
TMPRSS9,3180
TIMM13,288
LMNB2,1863
GADD45B,483
GNG7,207
DIRAS1,597
SLC39A3,945
SGTA,942
THOP1,2070
ZNF554,1617
ZNF555,1887
ZNF556,1371
ZNF57,1668
ZNF77,1638
TLE6,1350
TLE2,2232
TLE5,594
GNA11,1080
GNA15,1125
S1PR4,1155
NCLN,1692
CELF5,1458
NFIC,1287
SMIM24,393
SMIM44,450
DOHH,909
FZR1,1482
TEKTIP1,630
MFSD12,1443
HMG20B,954
GIPC3,939
TBXA2R,1032
CACTIN,2277
PIP5K1C,2007
TJP3,2760
APBA3,1728
MRPL54,417
RAX2,555
MATK,1401
ZFR2,2820
ATCAY,1116
NMRK2,693
DAPK3,1365
EEF2,2577
PIAS4,1533
ZBTB7A,1755
MAP2K2,1203
CREB3L3,1386
SIRT6,1068
ANKRD24,3441
EBI3,690
YJU2,972
SHD,1023
TMIGD2,849
FSD1,1491
STAP2,1350
MPND,1416
SH3GL1,1107
CHAF1A,2871
UBXN6,1326
HDGFL2,2016
PLIN4,4119
PLIN5,1392
,255
LRG1,1044
SEMA6B,2667
TNFAIP8L1,561
MYDGF,522
DPP9,2679
FEM1A,2010
TICAM1,2139
PLIN3,1305
ARRDC5,1029
UHRF1,2421
KDM4B,3291
PTPRS,5733
ZNRF4,1290
TINCR,363
SAFB2,2862
SAFB,2748
MICOS13,357
HSD11B1L,861
RPL36,318
LONP1,2880
CATSPERD,2397
PRR22,1269
DUS3L,1953
NRTN,594
FUT6,1080
FUT3,1086
FUT5,1125
NDUFA11,426
,207
VMAC,510
CAPS,570
RANBP3,1704
RFX2,2172
ACSBG2,2001
MLLT1,1680
ACER1,795
CLPP,834
ALKBH7,666
PSPN,471
GTF2F1,1554
KHSRP,2136
SLC25A41,1113
SLC25A23,1407
CRB3,372
DENND1C,2406
TUBB4A,1335
TNFSF9,765
CD70,582
TNFSF14,723
C3,4992
GPR108,1632
TRIP10,1638
SH2D3A,1731
VAV1,2538
ADGRE1,2661
MBD3L2B,615
MBD3L5,627
MBD3L4,627
MBD3L2,627
MBD3L3,627
ZNF557,1293
INSR,4149
ARHGEF18,3048
PEX11G,726
TEX45,1518
ZNF358,1707
MCOLN1,1743
PNPLA6,3984
CAMSAP3,3750
XAB2,2568
PET100,222
,186
PCP2,363
STXBP2,1782
RETN,327
MCEMP1,564
TRAPPC5,567
FCER2,966
CLEC4G,882
CD209,1215
CLEC4M,1200
EVI5L,2385
PRR36,4041
LRRC8E,2391
MAP2K7,1260
TGFBR3L,951
SNAPC2,1005
CTXN1,249
TIMM44,1359
ELAVL1,981
CCL25,453
FBN3,8430
CERS4,1185
CD320,849
,342
NDUFA7,342
RPS28,210
KANK3,2466
ANGPTL4,1221
